Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82792;27/01/2008;0000;24.6;21.8;77;942.9;9;4.8;10;
82792;27/01/2008;1200;25.5;21.5;71;945.3;9;4.6;7;
82792;27/01/2008;1800;29.4;22.5;55;942.3;9;4.3;9;
82792;28/01/2008;0000;25.4;21.1;69;944;9;3;0;
82792;28/01/2008;1200;25.4;20.4;64;945.6;14;3.5;7;
82792;28/01/2008;1800;30.5;22.1;49;942;14;2.5;10;
82792;29/01/2008;0000;27.4;21.4;58;943.7;14;3.6;4;
82792;29/01/2008;1200;25.9;21.1;65;944.2;14;3;3;
82792;29/01/2008;1800;30.6;22.1;48;940.8;14;3.3;10;
82792;30/01/2008;0000;27.3;21.4;61;940.8;9;2;0;
82792;30/01/2008;1200;26.1;21.8;70;942.7;9;3.3;3;
82792;30/01/2008;1800;34.1;23.5;42;937.9;27;1.6;7;
82792;31/01/2008;0000;25.2;21.6;72;940.8;9;5.3;4;
82792;31/01/2008;1200;25.4;22;75;941.7;9;3.5;10;
82792;31/01/2008;1800;31;22.7;49;937.8;9;4.1;10;
82792;01/02/2008;0000;26.1;22.4;74;940.9;5;4;6;
82792;01/02/2008;1200;24.2;21.4;78;944.5;5;2.5;10;
82792;01/02/2008;1800;30.4;21.8;47;940.3;9;2.8;8;
82792;02/02/2008;0000;26.8;21.4;61;942.7;5;2.1;10;
82792;02/02/2008;1200;23.8;19.4;67;945.8;5;2.6;5;
82792;02/02/2008;1800;32.2;20;33;942.1;14;3.1;3;
82792;03/02/2008;0000;28;20.2;48;943.8;9;5.1;0;
82792;03/02/2008;1200;25.4;21.2;69;947.1;9;3.5;7;
82792;03/02/2008;1800;33.4;21.6;34;943.1;5;3.6;5;
82792;04/02/2008;0000;27;21;59;945.4;9;6.1;0;
82792;04/02/2008;1200;26.4;21.4;64;946.4;9;4.8;2;
82792;04/02/2008;1800;34.2;21.2;32;941.9;9;3.5;2;
82792;05/02/2008;0000;27.3;20.4;55;945.2;9;5;0;
82792;05/02/2008;1200;25;20.2;66;947.1;9;5.5;3;
82792;05/02/2008;1800;33.4;20.4;30;943;9;3.8;4;
82792;06/02/2008;0000;27.6;19.8;49;945.1;9;6.3;0;
82792;06/02/2008;1200;25.8;19.8;57;947.9;9;4.1;2;
82792;06/02/2008;1800;32.2;21.2;38;943.9;9;4;6;
82792;07/02/2008;0000;27.8;20;49;945.9;9;5.1;0;
82792;07/02/2008;1200;25.6;20.8;64;948;9;4.8;3;
82792;07/02/2008;1800;32.6;21.2;36;944.1;5;1.6;8;
82792;08/02/2008;0000;27;21.6;62;946.2;9;3.5;0;
82792;08/02/2008;1200;26.4;21;62;947.6;5;3.3;3;
82792;08/02/2008;1800;33.4;21.8;35;942.8;14;3;7;
82792;09/02/2008;0000;28.8;21.2;51;944.8;9;6.5;6;
82792;09/02/2008;1200;26;20.8;63;945.5;9;5;7;
82792;09/02/2008;1800;32.4;23.8;50;941.5;9;0.5;9;
82792;10/02/2008;0000;28;21.2;54;943.7;9;5;10;
82792;10/02/2008;1200;25.8;19.6;56;945.3;5;3.3;2;
82792;10/02/2008;1800;33;22.2;40;941.3;36;1.6;8;
82792;11/02/2008;0000;26.2;21.6;66;943.9;9;3.1;10;
82792;11/02/2008;1200;25.8;21.4;68;945.8;9;4.6;6;
82792;11/02/2008;1800;33;22.4;40;941.8;9;3.3;9;
82792;12/02/2008;0000;23.6;21;79;945;27;2;10;
82792;12/02/2008;1200;24.2;21.4;78;946.1;9;4.5;10;
82792;12/02/2008;1800;32.2;21.4;39;942.1;5;4.1;6;
82792;13/02/2008;0000;26.5;21.2;63;944.2;9;4.6;0;
82792;13/02/2008;1200;24.8;20.8;70;945.6;9;4;10;
