Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82791;09/02/2008;0000;29.4;24.4;65;982.2;32;1.6;5;
82791;09/02/2008;1200;27.2;22.6;68;984.2;9;3.3;8;
82791;10/02/2008;0000;28.5;23.7;68;981;27;1;10;
82791;10/02/2008;1200;27.6;22.2;62;984;9;2.5;5;
82791;11/02/2008;0000;28.7;23.4;63;981.7;9;1.1;10;
82791;11/02/2008;1200;27.5;23.2;69;984.5;9;2.5;6;
82791;12/02/2008;0000;24.4;23;89;983;32;2.5;10;
82791;12/02/2008;1200;26.6;23.5;78;984.2;9;2.6;10;
82791;13/02/2008;0000;28.5;22.2;58;982;9;2.5;0;
82791;13/02/2008;1200;26.4;22.6;72;984.1;9;3.1;8;
82791;14/02/2008;0000;30.2;23.1;54;981.2;5;1.1;5;
82791;14/02/2008;1200;27.6;22.4;63;983.4;9;3.3;3;
82791;15/02/2008;0000;29.8;24;62;981.1;9;0.7;10;
82791;15/02/2008;1200;27.5;22.8;66;983.7;9;3.6;7;
82791;16/02/2008;0000;22.6;22;93;982.1;14;8;10;
82791;16/02/2008;1200;24.8;23;86;984.1;14;1.6;10;
82791;17/02/2008;0000;24.6;22.6;83;982.3;23;0.5;10;
82791;17/02/2008;1200;26.8;23.8;77;984.6;9;4.1;9;
82791;18/02/2008;0000;28.5;23;63;983.3;9;5;10;
82791;18/02/2008;1200;27.8;23.7;71;985.3;14;3;5;
82791;19/02/2008;0000;28.4;25;76;983.8;5;1;5;
82791;19/02/2008;1200;28;23.3;66;985.4;9;5;4;
82791;20/02/2008;0000;30;23.3;58;982;9;4.8;0;
82791;20/02/2008;1200;28;23.3;66;984;9;2.8;3;
82791;21/02/2008;0000;29.5;23.7;61;981.1;5;0.8;7;
82791;21/02/2008;1200;26.9;22.5;68;984.9;14;1.6;6;
82791;22/02/2008;0000;27.4;23.2;69;982.4;23;0.8;8;
82791;22/02/2008;1200;28.9;23.3;62;985.8;9;2.8;6;
82791;23/02/2008;0000;29.4;24.7;67;983;23;1.3;10;
82791;23/02/2008;1200;27.6;22.7;65;986.7;5;3.3;6;
82791;24/02/2008;0000;28.2;23.2;65;983.8;5;3;10;
82791;24/02/2008;1200;27.3;23.4;73;986.4;5;2.6;6;
82791;25/02/2008;0000;28.8;23.2;61;982.9;36;3.6;10;
82791;25/02/2008;1200;28;23.3;66;984.9;5;3;7;
82791;26/02/2008;0000;27.7;23.1;68;982.1;5;3.5;5;
82791;26/02/2008;1200;27.4;23.3;69;984.1;36;2;7;
82791;27/02/2008;0000;25.4;22.8;80;982.8;36;4.6;10;
82791;27/02/2008;1200;26;23.2;79;985.1;23;0.8;10;
82791;28/02/2008;0000;26.8;24.1;79;982.9;32;1.6;6;
82791;28/02/2008;1200;26.8;23.6;75;984.6;36;2.3;10;
82791;29/02/2008;0000;25.8;22.8;77;982.8;36;0.5;10;
82791;29/02/2008;1200;27.2;23.7;75;984;5;2.3;7;
82791;01/03/2008;0000;23.8;23;93;983.1;14;1.6;10;
82791;01/03/2008;1200;27.6;23.5;71;983.6;14;2.8;6;
82791;02/03/2008;0000;28.7;21.7;53;980.7;5;3.6;0;
82791;02/03/2008;1200;27.9;23.8;72;983;14;3;6;
82791;03/03/2008;0000;28.2;20.6;50;980.6;5;2.5;0;
82791;03/03/2008;1200;27.6;23.3;69;984.1;18;1.8;2;
82791;04/03/2008;0000;26.4;23;75;983.9;36;2.6;8;
82791;04/03/2008;1200;27.4;23.7;72;983.7;14;1.5;3;
82791;05/03/2008;0000;24.8;23.8;92;982.2;9;2.8;10;
82791;05/03/2008;1200;25.8;24.2;87;983.8;5;0.8;10;
82791;06/03/2008;0000;26.4;23;75;982.1;36;5.8;8;
82791;06/03/2008;1200;27;24.2;79;982.9;14;2.5;8;
82791;07/03/2008;0000;28;23.1;65;980.3;23;0.7;10;
82791;07/03/2008;1200;27.4;22.6;65;984.4;9;5;7;
82791;08/03/2008;0000;29.4;23.5;60;981.4;23;1.6;10;
82791;08/03/2008;1200;26.5;23.8;80;984.9;5;0.7;7;
82791;09/03/2008;0000;25.4;23.4;85;984;5;1;10;
82791;09/03/2008;1200;26.3;24;82;985.3;0;0;9;
82791;10/03/2008;0000;24.4;23;89;982.8;5;1.1;8;
82791;10/03/2008;1200;26.4;23.6;79;984.8;5;0.7;7;
82791;11/03/2008;0000;28;23.2;65;982.3;14;1.3;5;
82791;11/03/2008;1200;27.2;23.7;75;984;9;2.3;6;
82791;12/03/2008;0000;26.6;23.7;79;982.6;5;2.8;10;
82791;12/03/2008;1200;27.7;24;73;984.4;9;4.1;6;
82791;13/03/2008;0000;24.2;23;90;984.4;36;1.1;10;
82791;13/03/2008;1200;25.8;24.2;87;985.4;5;0.5;7;
82791;14/03/2008;0000;27.6;24;74;982.4;36;3.6;7;
82791;14/03/2008;1200;25.8;23.8;84;983.7;23;1.3;5;
82791;15/03/2008;0000;25.3;23.3;84;983.7;36;3.3;10;
82791;15/03/2008;1200;24.8;24;93;984.3;32;1.1;8;
82791;16/03/2008;0000;25;23.2;87;984.1;36;3;10;
82791;16/03/2008;1200;26.6;23.3;76;985.1;14;1.3;7;
82791;17/03/2008;0000;24.2;22.4;85;984.1;5;3.3;8;
82791;17/03/2008;1200;26.2;23.1;76;985;14;1.1;7;
82791;18/03/2008;0000;24.6;22.6;83;983.5;9;2.8;10;
82791;18/03/2008;1200;25.3;23.7;87;985.7;14;1.1;6;
82791;19/03/2008;0000;22.5;21.6;93;984.4;9;6.1;10;
82791;19/03/2008;1200;25;23.5;89;984.1;14;0.8;8;
82791;20/03/2008;0000;23.4;21.2;83;983.7;5;3;10;
82791;20/03/2008;1200;21.6;21;95;985.2;5;1.6;10;
82791;21/03/2008;0000;24.6;22.4;82;984.1;14;1.8;10;
82791;21/03/2008;1200;27;23.5;74;984.7;9;3.6;8;
82791;22/03/2008;0000;23.2;22.6;94;983.7;9;2.3;10;
82791;22/03/2008;1200;26.2;23.5;78;984.9;9;2.8;8;
82791;23/03/2008;0000;24.6;23.4;89;983.4;5;2;10;
82791;23/03/2008;1200;27.2;24.3;79;983.6;14;1.6;6;
82791;24/03/2008;0000;23.1;22.5;94;983.3;5;1.3;10;
82791;24/03/2008;1200;24.8;23.8;92;985.5;32;1.3;10;
82791;25/03/2008;0000;26.5;24.4;84;983.4;32;1.3;10;
82791;25/03/2008;1200;24.8;23.8;92;985.6;5;0.3;10;
82791;26/03/2008;0000;23.4;23;97;984.7;5;1.3;10;
82791;26/03/2008;1200;26.8;24.3;80;984;14;1.8;7;
82791;27/03/2008;0000;23.4;23;97;983.2;32;0.8;10;
82791;27/03/2008;1200;26.5;24.3;83;982.7;5;1.6;6;
82791;28/03/2008;0000;25.8;23.5;82;981.6;5;1.6;10;
82791;28/03/2008;1200;24.2;23.3;92;983;9;0.8;9;
82791;29/03/2008;0000;23.8;23.3;96;982.4;9;1.3;10;
82791;29/03/2008;1200;26.8;23.7;76;983;9;3.6;6;
82791;30/03/2008;0000;24;23.5;97;982;14;1.1;8;
82791;30/03/2008;1200;26.2;23.8;80;982.9;9;3;9;
82791;31/03/2008;0000;22.8;22.2;95;983;27;1.6;10;
82791;31/03/2008;1200;26.1;24;85;983.1;14;1.3;9;
82791;01/04/2008;0000;24;23.5;97;982;32;1.1;10;
82791;01/04/2008;1200;25.6;24;86;982.5;14;0.8;9;
82791;02/04/2008;0000;23.4;22.8;95;982.1;32;1.6;10;
82791;02/04/2008;1200;25.6;24.2;87;983.1;27;1;10;
82791;03/04/2008;0000;25;23.7;91;981.3;14;1.5;10;
82791;03/04/2008;1200;25;23.5;89;983.4;27;1.5;9;
82791;04/04/2008;0000;25.8;25;93;981.6;32;0.3;10;
82791;04/04/2008;1200;25.3;23.5;86;983.7;14;1.5;8;
82791;05/04/2008;0000;26.4;25;89;981.7;0;0;0;
82791;05/04/2008;1200;26.8;24.5;82;983.1;9;2.5;7;
82791;06/04/2008;0000;24.8;23.3;88;983.1;5;0.7;8;
82791;06/04/2008;1200;27;23.8;76;984.1;9;1;7;
82791;07/04/2008;0000;23.2;22.2;91;983.2;9;2.6;10;
82791;07/04/2008;1200;27;24.5;81;984;14;2;7;
82791;08/04/2008;0000;25.2;22.4;78;983;9;2.6;10;
82791;08/04/2008;1200;27;23.5;74;984.7;9;3.1;6;
82791;09/04/2008;0000;24.6;23.8;92;984.3;23;1;10;
82791;09/04/2008;1200;25.8;24.1;86;985.3;23;1.6;7;
82791;10/04/2008;0000;25.8;24.5;89;982.1;5;1.1;4;
82791;10/04/2008;1200;26.6;21.8;66;982.9;9;3.8;4;
82791;11/04/2008;0000;26.6;23.4;77;980.2;14;1.5;10;
82791;11/04/2008;1200;27;23.3;73;981.2;9;3.8;5;
82791;12/04/2008;0000;24.6;23.3;88;980.9;16;4.1;8;
82791;12/04/2008;1200;25.4;23.3;84;982.6;9;1.3;8;
82791;13/04/2008;0000;24.7;23.3;88;981.6;5;2;10;
82791;13/04/2008;1200;26.6;23.5;78;983.5;14;2.6;7;
82791;14/04/2008;0000;23.8;23.3;96;983.2;27;0.3;10;
82791;14/04/2008;1200;26.6;24.7;86;984.3;14;0.7;7;
82791;15/04/2008;0000;23.2;23;97;983.9;5;0.7;8;
82791;15/04/2008;1200;26.2;23.3;77;984.7;9;2.8;6;
82791;16/04/2008;0000;25;23.9;92;982.9;9;1.3;10;
82791;16/04/2008;1200;27;23.8;76;985.2;14;2.6;6;
82791;17/04/2008;0000;26;23.3;80;983.5;23;0.5;7;
82791;17/04/2008;1200;27.6;23.5;71;984.9;9;4.1;5;
82791;18/04/2008;0000;26.3;22.6;72;983.8;9;2.5;5;
82791;18/04/2008;1200;26.4;23.2;76;984.8;5;2.5;7;
82791;19/04/2008;0000;25.5;23.1;82;983;14;1.1;7;
82791;19/04/2008;1200;27.2;23.3;72;984.6;14;1.1;6;
82791;20/04/2008;0000;26.6;23.7;79;983;9;4;8;
82791;20/04/2008;1200;27.8;23.9;73;984.4;9;3.5;6;
82791;21/04/2008;0000;26.6;23.4;77;983;9;2.8;10;
82791;21/04/2008;1200;27;23;71;984.6;14;0.8;5;
82791;22/04/2008;0000;26.4;23.6;79;983.2;14;2;4;
82791;22/04/2008;1200;28;23.7;68;983.6;14;2.5;8;
82791;23/04/2008;0000;25.8;24;85;982.4;36;0.8;4;
82791;23/04/2008;1200;26.6;23.3;76;984.3;9;1.1;9;
82791;24/04/2008;0000;23;22.4;96;982.9;9;1.6;10;
82791;24/04/2008;1200;26.2;24;82;983.4;14;1.5;3;
82791;25/04/2008;0000;24.8;23.6;90;982.8;5;2.1;10;
82791;25/04/2008;1200;27.7;24.5;77;983.3;9;2.8;6;
82791;26/04/2008;0000;25.8;23.2;80;981.9;9;1.6;3;
82791;26/04/2008;1200;26.8;22.6;69;983.4;14;1.1;7;
82791;27/04/2008;0000;25.5;23.5;85;982.3;14;1;3;
82791;27/04/2008;1200;27.2;23.2;72;983.7;9;1.8;5;
82791;28/04/2008;0000;25.8;22.6;75;982.6;9;5.3;7;
82791;28/04/2008;1200;26.4;23.2;76;983;9;4;10;
82791;29/04/2008;0000;25;23.7;91;982.5;5;1.1;5;
82791;29/04/2008;1200;27.3;24;77;983.6;9;3;7;
82791;30/04/2008;0000;26.1;24.4;88;982;23;0.5;7;
82791;30/04/2008;1200;27.4;23.8;73;983.2;14;1.1;4;
82791;01/05/2008;0000;27.4;24;74;980.8;5;0.8;8;
82791;01/05/2008;1200;28;23.2;65;983.4;9;5.6;5;
82791;02/05/2008;0000;24.8;22.4;81;982.7;5;3;3;
82791;02/05/2008;1200;27.7;23.1;68;983.5;14;3.5;7;
82791;03/05/2008;0000;25.2;23;82;982.3;9;1.8;0;
82791;03/05/2008;1200;27.4;22.6;65;984.1;9;2.3;3;
82791;04/05/2008;0000;26.4;23.8;80;982.5;5;1.1;0;
82791;04/05/2008;1200;28.6;24.2;71;985;14;2.1;2;
82791;05/05/2008;0000;27.5;23.3;69;984.2;5;1;7;
82791;05/05/2008;1200;29;24.7;70;984.3;36;2;8;
82791;06/05/2008;0000;25.4;24.4;92;984.3;27;1.3;10;
82791;06/05/2008;1200;24.2;23.6;94;985.5;27;0.5;10;
82791;07/05/2008;0000;26.1;24.6;89;982.6;23;0.5;0;
82791;07/05/2008;1200;26.2;24.9;88;984.8;23;1;10;
82791;08/05/2008;0000;25;24.2;94;983.2;0;0;10;
82791;08/05/2008;1200;26.8;24.3;80;984.2;14;0.7;6;
82791;09/05/2008;0000;27;24.9;84;981.8;14;1;8;
82791;09/05/2008;1200;27.4;23.8;73;983.5;18;1.5;8;
82791;10/05/2008;0000;23.2;22.8;96;983.7;14;1.3;10;
82791;10/05/2008;1200;25;24;93;985.3;14;1;7;
82791;11/05/2008;0000;24.8;24;93;984.1;0;0;10;
82791;11/05/2008;1200;25.8;23.2;80;986.1;14;3;10;
82791;12/05/2008;0000;24;21;77;985.2;14;3.5;5;
82791;12/05/2008;1200;26.5;23.2;76;986.2;18;1.6;8;
82791;13/05/2008;0000;23.3;21.2;83;986;14;4.3;8;
82791;13/05/2008;1200;26;21.6;68;986.7;14;5;5;
82791;14/05/2008;0000;23.8;22.4;89;986;5;0.7;8;
82791;14/05/2008;1200;25.8;21.9;71;986.2;14;2;8;
82791;15/05/2008;0000;24.6;21;72;985.5;14;5.5;3;
82791;15/05/2008;1200;23.2;21.2;83;988;9;1;10;
82791;16/05/2008;0000;24.6;22.2;80;986.8;5;1.6;10;
82791;16/05/2008;1200;26.8;23.3;73;986.5;5;0.8;4;
82791;17/05/2008;0000;25.6;23.6;83;986;14;2.6;10;
82791;17/05/2008;1200;27.3;24;77;986.6;18;1.6;5;
82791;18/05/2008;0000;23.1;22.2;91;986.1;14;2.1;10;
82791;18/05/2008;1200;23.4;21.4;84;987.6;9;1.5;10;
82791;19/05/2008;0000;25.6;23.8;84;985;0;0;8;
82791;19/05/2008;1200;25.6;23;79;985.6;18;1.6;5;
82791;20/05/2008;0000;26.4;23.8;80;984.6;14;1;10;
82791;20/05/2008;1200;27;23.3;73;985.5;14;2;5;
82791;21/05/2008;0000;25.9;23.6;82;983.7;23;1.3;8;
82791;21/05/2008;1200;26.4;22.6;72;984.6;9;2.1;6;
82791;22/05/2008;0000;25.1;22.6;79;984.1;14;1.6;8;
82791;22/05/2008;1200;27.3;23.1;71;985.3;14;2;7;
82791;23/05/2008;0000;24.4;22.6;86;984.6;14;3.3;10;
82791;23/05/2008;1200;26.1;22.4;74;984.5;14;2.5;4;
82791;24/05/2008;0000;24.8;22.3;80;983.2;9;3;6;
82791;24/05/2008;1200;26.5;23.8;80;984.9;18;1.1;4;
82791;25/05/2008;0000;25;22.8;84;984.2;5;0.7;6;
82791;25/05/2008;1200;26.4;22.4;70;984.7;9;4;3;
82791;26/05/2008;0000;26;23.6;82;982.8;9;0.7;0;
82791;26/05/2008;1200;26.8;23;71;984.9;18;1.1;8;
82791;27/05/2008;0000;26.6;23;74;983.5;14;2.1;3;
82791;27/05/2008;1200;26.3;23.1;75;985.4;14;1.5;9;
82791;28/05/2008;0000;22.6;21.8;92;985.1;9;2;10;
82791;28/05/2008;1200;24.8;22;78;984.9;18;1.5;3;
82791;29/05/2008;0000;24;20;70;983.7;14;1.8;0;
82791;29/05/2008;1200;26.2;22.8;74;984.9;14;1.5;4;
82791;30/05/2008;0000;24.8;22.2;80;984.7;14;2.3;3;
82791;30/05/2008;1200;27;22.7;69;985.7;14;0.8;3;
82791;31/05/2008;0000;25.2;22;75;985.2;9;3;5;
82791;31/05/2008;1200;25.4;22;74;987.2;14;1;5;
82791;01/06/2008;0000;24.6;20.6;69;986.7;9;0.7;0;
82791;05/06/2008;0000;23.7;;72;985.7;14;2.05776;0;
82791;15/06/2008;0000;25.8;;56;986.5;14;2.5722;5;
82791;27/06/2008;0000;23.4;;83;987.6;9;6.68772;10;
82791;30/06/2008;0000;26.2;;60;985.2;9;3.60108;2.5;
82791;01/07/2008;0000;25;;70;987.4;14;3.08664;3.75;
82791;01/07/2008;1200;25.1;22.1;76;988.2;14;1.1;10;
82791;02/07/2008;0000;22.8;21.8;91;988.5;14;0.7;10;
82791;02/07/2008;1200;24.5;20.6;71;989.2;14;1;8;
82791;03/07/2008;0000;24;20.2;72;986.7;14;1.5;0;
82791;03/07/2008;1200;26.6;21.2;62;987.2;14;3.8;7;
82791;04/07/2008;0000;24.2;20.4;70;986.1;9;2.5;0;
82791;04/07/2008;1200;26;21.2;66;987.1;18;2.8;4;
82791;05/07/2008;0000;23.7;20.4;74;985.7;14;2.1;0;
82791;05/07/2008;1200;25.6;20.7;63;987.3;14;2.5;3;
82791;06/07/2008;0000;24;20.6;75;986.6;9;3.6;4;
